score_last_week,max_score_last_week,score_before_last_week,max_score_before_last_week,score_percentage_last_week,score_percentage_before_last_week,date
3.0,9,1397.5,2921,0.333,0.478,2025-11-01
3.0,8,1397.5,2922,0.375,0.478,2025-11-02
3.5,9,1397.5,2922,0.389,0.478,2025-11-03
3.5,10,1397.5,2922,0.350,0.478,2025-11-04
0.5,2,1400.5,2930,0.250,0.478,2025-11-05
0.5,3,1400.5,2930,0.167,0.478,2025-11-06
0.5,3,1400.5,2930,0.167,0.478,2025-11-07
0.5,3,1400.5,2930,0.167,0.478,2025-11-08
0.5,3,1400.5,2930,0.167,0.478,2025-11-09
0.5,3,1400.5,2930,0.167,0.478,2025-11-10
0.0,2,1401.0,2932,0.000,0.478,2025-11-11
0.0,2,1401.0,2932,0.000,0.478,2025-11-12
0.5,2,1401.0,2933,0.250,0.478,2025-11-13
